1,200,204,205
2,200,199,204
3,198,203,204
4,199,198,204
5,198,202,203
6,198,197,202
7,196,201,202
8,197,196,202
9,194,199,200
10,195,194,200
11,194,198,199
12,194,193,198
13,192,197,198
14,193,192,198
15,192,196,197
16,192,191,196
17,190,194,195
18,190,189,194
19,188,193,194
20,189,188,194
21,188,192,193
22,188,187,192
23,186,191,192
24,187,186,192
25,184,189,190
26,185,184,190
27,184,188,189
28,184,183,188
29,182,187,188
30,183,182,188
31,182,186,187
32,182,181,186
33,180,184,185
34,180,179,184
35,178,183,184
36,179,178,184
37,178,182,183
38,178,177,182
39,176,181,182
40,177,176,182
41,174,179,180
42,175,174,180
43,174,178,179
44,174,173,178
45,172,177,178
46,173,172,178
47,172,176,177
48,172,171,176
49,170,174,175
50,170,169,174
51,168,173,174
52,169,168,174
53,168,172,173
54,168,167,172
55,166,171,172
56,167,166,172
57,164,169,170
58,165,164,170
59,164,168,169
60,164,163,168
61,162,167,168
62,163,162,168
63,162,166,167
64,162,161,166
65,160,164,165
66,160,159,164
67,158,163,164
68,159,158,164
69,158,162,163
70,158,157,162
71,156,161,162
72,157,156,162
73,154,159,160
74,155,154,160
75,154,158,159
76,154,153,158
77,152,157,158
78,153,152,158
79,152,156,157
80,152,151,156
81,150,154,155
82,150,149,154
83,148,153,154
84,149,148,154
85,148,152,153
86,148,147,152
87,146,151,152
88,147,146,152
89,144,149,150
90,145,144,150
91,144,148,149
92,144,143,148
93,142,147,148
94,143,142,148
95,142,146,147
96,142,141,146
97,140,144,145
98,140,139,144
99,138,143,144
100,139,138,144
101,138,142,143
102,138,137,142
103,136,141,142
104,137,136,142
105,134,139,140
106,135,134,140
107,134,138,139
108,134,133,138
109,132,137,138
110,133,132,138
111,132,136,137
112,132,131,136
113,130,134,135
114,130,129,134
115,128,133,134
116,129,128,134
117,128,132,133
118,128,127,132
119,126,131,132
120,127,126,132
121,124,129,130
122,125,124,130
123,124,128,129
124,124,123,128
125,122,127,128
126,123,122,128
127,122,126,127
128,122,121,126
129,120,124,125
130,120,119,124
131,118,123,124
132,119,118,124
133,118,122,123
134,118,117,122
135,116,121,122
136,117,116,122
137,114,119,120
138,115,114,120
139,114,118,119
140,114,113,118
141,112,117,118
142,113,112,118
143,112,116,117
144,112,111,116
145,110,114,115
146,110,109,114
147,108,113,114
148,109,108,114
149,108,112,113
150,108,107,112
151,106,111,112
152,107,106,112
153,104,109,110
154,105,104,110
155,104,108,109
156,104,103,108
157,102,107,108
158,103,102,108
159,102,106,107
160,102,101,106
161,100,104,105
162,100,99,104
163,98,103,104
164,99,98,104
165,98,102,103
166,98,97,102
167,96,101,102
168,97,96,102
169,94,99,100
170,95,94,100
171,94,98,99
172,94,93,98
173,92,97,98
174,93,92,98
175,92,96,97
176,92,91,96
177,90,94,95
178,90,89,94
179,88,93,94
180,89,88,94
181,88,92,93
182,88,87,92
183,86,91,92
184,87,86,92
185,84,89,90
186,85,84,90
187,84,88,89
188,84,83,88
189,82,87,88
190,83,82,88
191,82,86,87
192,82,81,86
193,80,84,85
194,80,79,84
195,78,83,84
196,79,78,84
197,78,82,83
198,78,77,82
199,76,81,82
200,77,76,82
201,74,79,80
202,75,74,80
203,74,78,79
204,74,73,78
205,72,77,78
206,73,72,78
207,72,76,77
208,72,71,76
209,70,74,75
210,70,69,74
211,68,73,74
212,69,68,74
213,68,72,73
214,68,67,72
215,66,71,72
216,67,66,72
217,64,69,70
218,65,64,70
219,64,68,69
220,64,63,68
221,62,67,68
222,63,62,68
223,62,66,67
224,62,61,66
225,60,64,65
226,60,59,64
227,58,63,64
228,59,58,64
229,58,62,63
230,58,57,62
231,56,61,62
232,57,56,62
233,54,59,60
234,55,54,60
235,54,58,59
236,54,53,58
237,52,57,58
238,53,52,58
239,52,56,57
240,52,51,56
241,50,54,55
242,50,49,54
243,48,53,54
244,49,48,54
245,48,52,53
246,48,47,52
247,46,51,52
248,47,46,52
249,44,49,50
250,45,44,50
251,44,48,49
252,44,43,48
253,42,47,48
254,43,42,48
255,42,46,47
256,42,41,46
257,40,44,45
258,40,39,44
259,38,43,44
260,39,38,44
261,38,42,43
262,38,37,42
263,36,41,42
264,37,36,42
265,34,39,40
266,35,34,40
267,34,38,39
268,34,33,38
269,32,37,38
270,33,32,38
271,32,36,37
272,32,31,36
273,30,34,35
274,30,29,34
275,28,33,34
276,29,28,34
277,28,32,33
278,28,27,32
279,26,31,32
280,27,26,32
281,24,29,30
282,25,24,30
283,24,28,29
284,24,23,28
285,22,27,28
286,23,22,28
287,22,26,27
288,22,21,26
289,20,24,25
290,20,19,24
291,18,23,24
292,19,18,24
293,18,22,23
294,18,17,22
295,16,21,22
296,17,16,22
297,14,19,20
298,15,14,20
299,14,18,19
300,14,13,18
301,12,17,18
302,13,12,18
303,12,16,17
304,12,11,16
305,10,14,15
306,10,9,14
307,8,13,14
308,9,8,14
309,8,12,13
310,8,7,12
311,6,11,12
312,7,6,12
313,4,9,10
314,5,4,10
315,4,8,9
316,4,3,8
317,2,7,8
318,3,2,8
319,2,6,7
320,2,1,6
